;Date;Production;Prediction
855;2031-05-26;1143570461.6874013;1
856;2031-06-02;1188374735.5839643;1
857;2031-06-09;1198212797.8516328;1
858;2031-06-16;1271368340.5446255;1
859;2031-06-23;1292834286.2102566;1
860;2031-06-30;1283202294.4989886;1
861;2031-07-07;1328963146.3568592;1
862;2031-07-14;1353862070.9176362;1
863;2031-07-21;1293552704.8466973;1
864;2031-07-28;1214933468.2447264;1
865;2031-08-04;1252569447.8658407;1
866;2031-08-11;1226967042.7870812;1
867;2031-08-18;1206213711.3752367;1
868;2031-08-25;1130457979.0751116;1
869;2031-09-01;1156818797.920933;1
870;2031-09-08;1083344425.5077624;1
871;2031-09-15;1019885101.547434;1
872;2031-09-22;1020709346.3099861;1
873;2031-09-29;1033952752.3082823;1
874;2031-10-06;989692578.5935965;1
875;2031-10-13;1014641102.255521;1
876;2031-10-20;1029290757.5940813;1
877;2031-10-27;1008283357.8194779;1
878;2031-11-03;1042741793.3343961;1
879;2031-11-10;1024123397.0643923;1
880;2031-11-17;1029665726.9783418;1
881;2031-11-24;1096061354.7147071;1
882;2031-12-01;1132241122.6814132;1
883;2031-12-08;1119353526.901873;1
884;2031-12-15;923592386.1199838;1
885;2031-12-22;937800285.6097927;1
886;2031-12-29;1070434392.1472578;1
887;2032-01-05;1120363142.0099237;1
888;2032-01-12;1254097127.6540616;1
889;2032-01-19;1214451297.2084568;1
890;2032-01-26;1078605806.3866022;1
891;2032-02-02;1153650686.692527;1
892;2032-02-09;1028732162.2353958;1
893;2032-02-16;1092836504.5910685;1
894;2032-02-23;1105531419.7472599;1
895;2032-03-01;1013459016.7913735;1
896;2032-03-08;1049967313.2741114;1
897;2032-03-15;1018471170.7880042;1
898;2032-03-22;1099609085.775391;1
899;2032-03-29;1081356712.8474007;1
900;2032-04-05;1039858203.1288542;1
901;2032-04-12;1089455422.772443;1
902;2032-04-19;1113223580.0231788;1
903;2032-04-26;1148280633.5099416;1
904;2032-05-03;1242467378.5982044;1
905;2032-05-10;1243024983.3002284;1
906;2032-05-17;1131178960.118065;1
907;2032-05-24;1143570461.6874013;1
908;2032-05-31;1188374735.5839643;1
909;2032-06-07;1198212797.8516328;1
910;2032-06-14;1271368340.5446255;1
911;2032-06-21;1292834286.2102566;1
912;2032-06-28;1283202294.4989886;1
913;2032-07-05;1328963146.3568592;1
914;2032-07-12;1353862070.9176362;1
915;2032-07-19;1293552704.8466973;1
916;2032-07-26;1214933468.2447264;1
917;2032-08-02;1252569447.8658407;1
918;2032-08-09;1226967042.7870812;1
919;2032-08-16;1206213711.3752367;1
920;2032-08-23;1130457979.0751116;1
921;2032-08-30;1156818797.920933;1
922;2032-09-06;1083344425.5077624;1
923;2032-09-13;1019885101.547434;1
924;2032-09-20;1020709346.3099861;1
