;Date;Consumption;Prediction
678;2028-01-03;1188405998.9773555;1
679;2028-01-10;1287643510.8191855;1
680;2028-01-17;1393773541.0252008;1
681;2028-01-24;1370140479.6182997;1
682;2028-01-31;1317103860.2070227;1
683;2028-02-07;1283554059.488521;1
684;2028-02-14;1206141477.0514243;1
685;2028-02-21;1183941456.9173539;1
686;2028-02-28;1209073976.6262658;1
687;2028-03-06;1236468694.1660357;1
688;2028-03-13;1225112260.2649715;1
689;2028-03-20;1186308789.3967116;1
690;2028-03-27;1230109892.5185869;1
691;2028-04-03;1232521210.810886;1
692;2028-04-10;1077548173.097869;1
693;2028-04-17;1109956854.4480824;1
694;2028-04-24;1130184568.8614178;1
695;2028-05-01;1093447616.6604688;1
696;2028-05-08;1103953949.2706125;1
697;2028-05-15;1093542170.0965507;1
698;2028-05-22;1080777806.1908467;1
699;2028-05-29;1113789525.4194605;1
700;2028-06-05;1139391486.2389703;1
701;2028-06-12;1074976208.7529852;1
702;2028-06-19;1132618824.9695385;1
703;2028-06-26;1124691391.6073794;1
704;2028-07-03;1081953013.1438093;1
705;2028-07-10;1067456579.1498922;1
706;2028-07-17;1044374572.6906872;1
707;2028-07-24;988378105.3768227;1
708;2028-07-31;1033076235.4100969;1
709;2028-08-07;1028894813.187831;1
710;2028-08-14;1093867024.4545012;1
711;2028-08-21;1069426405.179238;1
712;2028-08-28;1093847139.2781866;1
713;2028-09-04;1064987079.4177742;1
714;2028-09-11;1128241682.9201162;1
715;2028-09-18;1065705789.0781194;1
716;2028-09-25;1190726506.6709402;1
717;2028-10-02;1123182506.2494357;1
718;2028-10-09;1100423669.0684328;1
719;2028-10-16;1157057081.8003652;1
720;2028-10-23;1086601056.6033208;1
721;2028-10-30;1185671647.5421462;1
722;2028-11-06;1178342795.0264015;1
723;2028-11-13;1245058107.1027539;1
724;2028-11-20;1299797764.4792206;1
725;2028-11-27;1340641966.649631;1
726;2028-12-04;1396761091.297256;1
727;2028-12-11;1398894521.9532578;1
728;2028-12-18;1284495085.3308263;1
